Name,MW,Volume,SA,%_hydro,log_P,HLB,H_acc,H_donor,H_3d,CNS+/-
acetophenazine,527.634,62.5695,9.128,100,-0.886,20,1.0444,0.56601,15.7038,1
acetozalmide,222.2364,123.695,17.51,92.0981,-2.9723,19.728,1.186,0.88182,22.0383,1
allobarbitol,208.2164,156.977,23.02,50.2567,0.575,12.11,1.3253,0.56084,11.7318,1
amantadine,151.251,87.9156,10.78,15.3762,2.395,2.1187,0.5076,0.3592,6.2357,1
amitriptyline,277.408,172.19,20.88,10.9933,4.961,3.6076,0.1192,0.04253,5.49208,1
amobarbital,226.275,129.632,17.71,37.9871,2.062,11.143,1.1388,0.53447,9.92661,1
amphetamine,135.208,85.8723,11.1,17.0003,1.742,4.1467,0.5044,0.38695,6.99345,1
antipyrine,188.229,127.759,16.25,39.9931,0.944,11.165,0.222,0.03302,6.78571,1
apomorphine,267.327,152.206,17.75,26.4463,2.39,6.2885,0.8159,0.56729,14.3518,1
arecoline,155.196,88.0503,11.89,65.8173,0.626,17.413,0.4373,0,7.22493,1
azaperone,327.401,182.338,22.46,35.4779,3.144,9.6603,0.5714,0.06082,7.9691,1
benactyzine,327.422,234.675,30.97,32.677,3.4146,8.4973,0.7819,0.31679,6.66431,1
benperidol,381.449,207.12,25.01,31.3755,2.741,10.284,0.7986,0.30646,7.65247,1
benzocaine,165.191,92.7985,12.03,45.8409,1.413,10.421,0.8708,0.53142,8.77164,1
benzquinamide,404.505,243.045,31.42,50.58,0.824,14.053,0.9647,0.01019,9.80881,1
benztropine,307.435,187.625,22.49,12.9725,3.22,5.1431,0.2649,0.05349,6.37245,1
biperiden,311.466,197.261,24.4,9.11787,4.341,2.7627,0.587,0.28648,9.91851,1
bromazepam,316.156,144.404,17.06,44.0701,1.8737,8.4205,0.8256,0.31946,11.0138,1
buclizine,433.0351,258.07,31.57,28.1918,9.1943,7.1868,0.2539,0.07246,5.46825,1
bufotenine,204.271,136.623,17.51,31.0225,1.008,9.1118,0.6911,0.55042,12.7753,1
bupropion,239.744,137.071,18.01,35.1429,2.619,10.639,0.6036,0.25361,3.12285,1
buramate,195.218,109.716,14.39,62.0912,0.3784,12.101,0.8788,0.50847,12.6189,1
butabarbitral,212.248,153.978,22.32,49.7435,1.533,11.88,1.1388,0.53444,10.294,1
caffeine,194.193,100.998,12.87,89.2472,1.0932,19.689,0.5951,0.01695,9.59149,1
cannabidiol,310.435,185.973,22.93,12.0194,7.085,3.6741,0.445,0.29416,9.43387,1
capuride,186.253,113.722,16.06,37.3288,0.15,10.638,1.2563,0.78814,10.6441,1
carbamazepine,236.273,145.506,17.28,28.5421,2.28,6.9463,0.7875,0.57573,8.31511,1
carphenazine,541.661,62.5695,9.128,100,-0.886,20,1.0444,0.56601,15.7038,1
cartazolate,290.364,174.615,22.71,51.7355,2.8003,13.925,0.9468,0.27178,6.9458,1
centazolone,211.223,109.69,12.52,47.4486,0.0623,10.329,0.9411,0.5772,10.3247,1
chloralhydrate,165.404,63.5401,9.166,100,0.1774,20,0.7495,0.53197,19.1305,1
chlordiazepoxide,299.759,165.204,20.01,63.5277,2.9099,13.852,0.673,0.29221,8.4304,1
chlorpromazine,318.863,233.39,31.04,28.7324,3.7413,7.7474,0.1064,0.04399,5.88878,1
chlorprothixene,315.86,181.486,21.98,21.6906,4.986,6.1737,0.1191,0.04368,5.42903,1
chlorzoxazone,169.567,75.7854,8.911,92.7263,2.541,19.643,0.4694,0.28394,9.99517,1
choline,104.172,69.9078,10.81,100,0.0484,20,0.3311,0.22657,13.3705,1
clobazam,300.744,172.585,21.12,56.1686,0.191,13.671,0.4582,0.04924,9.15862,1
clomipramine,314.857,222.957,28.71,22.6303,4.566,7.0832,0.1079,0.04214,6.44147,1
clonazepam,315.715,167.385,20.34,61.8423,2.6133,14.227,0.9891,0.30584,9.86385,1
clopenthixol,400.965,216.106,26.02,49.4443,5.1296,9.4099,0.546,0.27016,10.2821,1
clopimozide,495.998,263.959,31.43,33.7902,6.904,9.6621,0.5597,0.32741,7.06992,1
cocaine,303.357,172.319,21.59,50.5463,1.462,13.46,0.691,0.02712,6.69125,1
codeine,299.369,172.856,20.66,32.4268,0.3822,9.0915,0.7372,0.2736,10.7167,1
cyclabarbamate,245.662,123.019,16.11,84.8018,0.8238,17.716,1.2767,0.77782,14.1432,1
cyclazocine,271.402,177.395,21.86,10.6642,4.368,3.1706,0.427,0.28611,10.4234,1
cyclophenazine,433.534,246.051,30.03,25.1293,5.6887,5.635,0.3997,0.03814,7.47793,1
deanol,89.137,66.9868,10.18,72.8187,-0.6276,18.643,0.4197,0.22648,15.4077,1
demerol,247.336,179.864,24.09,33.7433,2.767,9.7104,0.3955,0.02541,6.86405,1
deserpidine,578.661,336.773,41.72,51.255,2.5282,13.178,1.4132,0.2886,10.526,1
desipramine,266.385,196.539,24.96,18.3695,3.207,4.2095,0.3093,0.21406,5.95757,1
dextroamphetamine,233.282,85.8723,11.1,17.0003,1.742,4.1467,0.5044,0.38711,6.99345,1
diazepam,284.745,168.154,20.49,47.7964,2.9339,11.629,0.4247,0.04941,8.03532,1
dihydrocodeine,301.385,170.524,20.38,28.9662,0.9262,8.9639,0.6338,0.23673,10.3096,1
